Source,Target,weight
602,353,2020
603,1840,2023
603,1678,2023
603,331,2023
1678,331,2023
1840,1678,2021
604,253,2018
607,1599,2022
607,602,2021
607,1444,2021
607,1921,2021
1444,1921,2021
612,1190,2019
612,330,2018
613,618,2023
615,625,2021
618,1705,2018
622,1961,2023
622,886,2023
622,250,2023
886,250,2023
624,1038,2022
624,145,2022
624,723,2021
626,3,2022
628,41,2022
628,393,2018
628,931,2018
630,864,2021
634,669,2020
635,1264,2020
636,900,2021
636,1320,2021
636,1422,2021
636,971,2018
645,416,2023
645,1787,2023
416,1787,2023
645,618,2023
645,1200,2022
648,19,2018
650,775,2023
650,347,2023
650,224,2023
651,795,2023
651,798,2022
657,1952,2021
659,95,2019
661,1736,2018
662,119,2018
663,1624,2023
663,700,2022
700,1624,2020
663,1295,2020
664,516,2023
664,1114,2023
664,876,2021
664,122,2021
876,122,2021
664,1637,2018
665,24,2020
667,748,2022
667,1451,2020
671,416,2019
672,399,2021
673,695,2021
676,1242,2023
687,4,2019
688,290,2019
689,702,2022
691,299,2022
691,562,2020
691,792,2019
692,1,2023
692,1961,2023
692,84,2022
84,1,2022
692,17,2022
1,17,2022
692,285,2021
692,54,2020
1,54,2020
673,439,2020
696,66,2023
696,88,2022
697,881,2018
699,1302,2023
701,1648,2021
701,737,2023
737,1648,2021
701,123,2021
702,909,2021
702,336,2019
704,692,2023
706,1107,2023
707,1293,2021
710,1540,2018
711,891,2022
714,82,2023
714,1178,2020
716,171,2021
716,1080,2019
719,1728,2018
719,476,2018
721,1477,2019
722,1986,2019
723,1535,2023
723,428,2023
1535,428,2023
723,829,2020
723,215,2020
829,215,2020
724,297,2022
724,351,2022
724,227,2022
724,1122,2021
297,1122,2021
724,1699,2021
730,1907,2019
732,148,2018
733,127,2020
736,122,2023
736,35,2022
736,850,2020
742,145,2021
742,269,2021
145,269,2021
743,1201,2020
745,1170,2023
745,1688,2022
745,24,2021
748,1451,2022
749,963,2022
750,1467,2022
750,1658,2021
751,17,2020
756,395,2021
758,825,2019
758,957,2019
825,957,2023
758,1244,2018
758,1885,2018
1244,1885,2023
761,84,2023
761,829,2021
761,284,2021
761,814,2021
761,602,2020
787,602,2020
761,1582,2020
761,87,2018
763,898,2019
768,927,2018
770,1488,2023
770,44,2021
770,48,2021
778,1650,2022
778,729,2018
779,947,2021
784,197,2019
786,1468,2021
786,993,2019
786,12,2018
789,42,2019
789,72,2018
790,1551,2020
